I(mA),P1,2Q1,P2,2Q2,P3,2Q3,P4,2Q4,(Current)_inv (1/A),B1,B2,B3,B4,g1,g2,g3,g4
132,6.6,3,6.6,3.3,6.5,3.6,6.6,3.8,7.575757575757575,0.0004954392070215199,0.0005449831277236719,0.0006036736184016057,0.0006275563288939253,1.7305308153123347,1.7043106514439659,1.6569686889038557,1.707760673005593
160,6.4,2.4,6.5,2.7,6.4,3,6.5,3.2,6.25,0.0004954392070215198,0.0005487941985469144,0.0006192990087768997,0.0006504227538333799,1.730530815312335,1.6924751608089383,1.6151620942915128,1.6477222118452406
187,6.4,2.2,6.5,2.2,6.4,2.5,6.4,2.6,5.347593582887701,0.0005307908587725345,0.0005226248455606495,0.0006031714304233347,0.000627298287640268,1.6152742661155484,1.777222337067237,1.6583482465452963,1.7084631660837533
214,6.3,1.8,6.4,2,6.3,2.1,6.4,2.3,4.672897196261682,0.0005048761442981202,0.0005522082828260689,0.000589022168347807,0.0006350395252499793,1.698184444932665,1.6820112597428303,1.6981844449326648,1.6876367154610337
241,6.2,1.6,6.3,1.8,6.2,1.9,6.3,2,4.149377593360996,0.0005135520382459625,0.0005685754709151728,0.0006098430454170805,0.0006317505232390809,1.669495496100074,1.6335923671516852,1.6402061014316518,1.6964228428113655
267,6.2,1.4,6.2,1.6,6.1,1.7,6.2,1.8,3.745318352059925,0.0004978364935071079,0.0005689559925795519,0.0006144258362488194,0.0006400754916519958,1.722197601113399,1.6324998093887428,1.6279723686679155,1.6743587788602488
292,6.1,1.3,6.1,1.5,6.1,1.5,6.1,1.6,3.4246575342465757,0.0005138489699053796,0.0005929026575831303,0.0005929026575831303,0.0006324295014220057,1.6685307650271723,1.5665649960532895,1.6870699957496964,1.6946015582307214
317,6,1.2,6,1.4,6,1.4,6,1.5,3.1545741324921135,0.000523514095419406,0.0006107664446559736,0.0006107664446559736,0.0006543926192742576,1.6377263236394337,1.5207458719509026,1.6377263236394335,1.6377263236394333
