U(kV),D1(mm),D2(mm),R1(mm),R2(mm),Wavelength(pm),d1_wo_app(pm),d2_wo_app(pm)
1.7,30.990,38.705,15.499,19.35,29.745198683392033,247.23776959723236,196.9966558069516
2.0,28.630,36.540,14.315,18.27,27.423718165254268,247.1306427574312,192.66670040836826
2.4,26.605,33.690,13.303,16.845,25.03431508295658,243.0200938074853,191.13198847926955
2.8,24.855,31.180,12.428,15.59,23.177272087840354,241.04024492777242,191.5007037626694
3.2,22.910,29.435,11.455,14.718,21.680352828184336,244.8400981280232,189.93894781197207
3.6,20.505,27.080,10.253,13.54,20.440432671101455,258.15370085899355,194.90454762139967
4.0,20.395,25.415,10.198,12.708,19.39149708,246.23736903906592,197.1725084156788
