V(Volt),Current(Ampere),T(C),T(K),Power_Input,Temp_Diff,Denominator
40,0.46,105.4,378.55,18.400000000000002,12434919376.51051,177991962.76458955
45,0.53,110.8,383.95,23.85,13631949526.848003,195126110.52186692
50,0.59,117.7,390.85,29.5,15236754912.05701,218097104.68111426
55,0.66,126.5,399.65,36.300000000000004,17410517531.415,249212085.2844223
