U(V),I_2,I_3,I_4,I_5,I_2**2,I_3**2,I_4**2,I_5**2,Specific_Charge(I_2),Specific_Charge(I_3),Specific_Charge(I_4),Specific_Charge(I_5)
150,3.133,2.057,1.485,1.156,9.815689,4.231249,2.2052250000000004,1.3363359999999997,159393032857.183,164338387952.524,177368799021.9694,187324438080.58932
160,3.266,2.104,1.546,1.207,10.666756,4.4268160000000005,2.390116,1.4568490000000003,156453933627.59488,167550164497.03604,174558048149.72885,183283888473.9049
170,3.338,2.19,1.584,1.275,11.142244,4.7961,2.509056,1.6256249999999999,159138449238.6461,164314934699.1291,176675952150.7899,174520882117.20258
180,3.406,2.242,1.638,1.326,11.600836000000001,5.026564,2.6830439999999998,1.7582760000000002,161838588800.96817,166003649336.3806,174937769111.45218,170845799148.84512
